"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","14","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","is invalid when empty","is invalid when empty",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TasksComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TasksComponent","should create","should create",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","2","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","#isLoggedOut returns false if user is logged in","#isLoggedOut returns false if user is logged in",""
"passed","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","5","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoggerService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoggerService","should be created","should be created",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] HttpStatusComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] HttpStatusComponent","should create","should create",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","4","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","#logIn sends username and password and receives access token","#logIn sends username and password and receives access token",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] SignupFormComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] SignupFormComponent","should create","should create",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","2","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","#getName returns name property of a JWT payload","#getName returns name property of a JWT payload",""
"passed","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","16","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","should create","should create",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] UsersService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] UsersService","should be created","should be created",""
